time_step,passenger_sequence,target_x,target_y,current_x,current_y,current_cell,state
3521,157,19,-1,17.033333333328724,0.0,15,0
3521,159,21,1,15.066666666661922,0.0,17,0
3521,160,21,-1,13.333333333328532,0.0,19,0
3521,161,12,1,11.59999999999515,0.0,20,2
3521,162,15,1,8.866666666661766,0.0,23,1
3521,163,17,1,7.933333333328374,0.0,24,1
3521,164,18,-1,6.999999999994982,0.0,25,1
3521,165,13,1,6.866666666661596,0.0,25,0
3521,166,16,1,5.133333333328206,0.0,27,1
3521,167,14,-1,5.899999999994808,0.0,26,1
3521,169,4,-1,2.233333333328031,0.0,30,1
3521,170,10,-1,1.299999999994635,0.0,31,1
3521,171,7,-1,0.36666666666124803,0.0,32,1
3521,172,2,-1,-0.633333333338814,0.0,33,1
3521,173,11,1,-1.6333333333388693,0.0,34,1
3521,174,8,-1,-2.633333333338931,0.0,35,1
3521,175,5,1,-3.633333333338987,0.0,36,1
3521,176,6,1,-4.633333333339047,0.0,37,1
3521,177,9,-1,-5.633333333339097,0.0,38,1
3521,178,1,-1,-6.633333333339156,0.0,39,1
3521,179,2,1,-7.633333333339207,0.0,40,1
3521,180,5,-1,-8.633333333339264,0.0,41,1
3521,181,11,-1,-9.633333333339316,0.0,42,1
3521,182,8,1,-10.633333333339374,0.0,43,1
3521,183,6,-1,-11.633333333339424,0.0,44,1
3521,184,9,1,-12.633333333339476,0.0,45,1
3521,185,10,1,-13.633333333339534,0.0,46,1
3521,186,4,1,-14.633333333339584,0.0,47,1
3521,187,7,1,-15.633333333339642,0.0,48,1
3521,188,3,1,-16.633333333339703,0.0,49,1
